from,to,value
54,7,7
55,2,2
55,6,24
55,7,26
55,8,2
55,10,1
55,11,3
55,13,2
55,17,3
55,26,14
55,33,1
55,37,4
55,38,2
55,39,1
55,53,2
56,3,1
56,4,1
56,7,7
56,9,21
56,10,1
56,11,4
56,12,19
56,13,4
56,14,1
56,16,1
56,17,5
56,21,1
56,23,2
56,26,1
56,29,2
56,31,12
56,32,1
56,34,1
56,37,2
56,38,6
56,41,2
56,43,1
56,44,6
56,45,1
56,46,3
56,47,5
56,48,6
56,49,1
56,53,1
57,7,3
57,13,1
57,39,2
57,53,1
58,1,1
58,6,8
58,7,1
58,8,3
58,9,2
58,12,4
58,19,2
58,20,2
58,24,2
58,25,4
58,36,1
58,38,3
58,42,3
58,50,1
58,53,3
59,5,2
59,6,3
59,7,16
59,9,4
59,12,16
59,13,2
59,15,1
59,17,3
59,18,3
59,22,3
59,24,1
59,26,3
59,27,6
59,28,2
59,29,2
59,30,1
59,31,6
59,35,1
59,37,6
59,38,6
59,40,1
59,51,1
59,53,1
60,7,12
