id,names,labs,group,Laboratories.and.Collaborators,size
1,College of Agriculture and Bioresources,,1,U of S SSRL Affiliated,10
2,College of Arts & Science,,1,U of S SSRL Affiliated,10
3,College of Education,,1,U of S SSRL Affiliated,10
4,Edwards School of Business,,1,U of S SSRL Affiliated,10
5,Johnson-Shoyoma Graduate School of Public Policy,,1,U of S SSRL Affiliated,10
6,Office of the Vice-President Research,,1,U of S SSRL Affiliated,10
7,School of Environment and Sustainability,,1,U of S SSRL Affiliated,10
8,Saint Thomas More College,,1,U of S SSRL Affiliated,10
9,University Library,,1,U of S SSRL Affiliated,10
11,Aboriginal Affairs,,2,U of S Other,10
12,College of Dentistry,,2,U of S Other,10
13,College of Kinesiology,,2,U of S Other,10
14,College of Medicine,,2,U of S Other,10
15,College of Nursing,,2,U of S Other,10
16,College of Pharmacy and Nutrition,,2,U of S Other,10
17,Marketing and Communications ,,2,U of S Other,10
18,Department of Plant Sciences,,2,U of S Other,10
19,Facilities Management Division,,2,U of S Other,10
20,Financial Services Division,,2,U of S Other,10
21,Global Institute for Water Security,,2,U of S Other,10
22,College of Graduate Studies and Research,,2,U of S Other,10
23,International Centre for Northern Governance and Development,,2,U of S Other,10
24,International Office,,2,U of S Other,10
25,International Research Office,,2,U of S Other,10
26,School of Physical Therapy,,2,U of S Other,10
27,School of Public Health,,2,U of S Other,10
28,Student and Enrolement Services Division,,2,U of S Other,10
29,Canadian Centre for Health and Safety in Agriculture (CCHSA),,3,U of S External,10
30,CHEP Good Food Inc.,,3,U of S External,10
31,"First Nations University of Canada, Regina campus",,3,U of S External,10
32,Imagine Canada,,3,U of S External,10
33,Saskatchewan Population Health and Evaluation Research Unit (SPHERU),,3,U of S External,10
34,Saskatoon Food Council,,3,U of S External,10
35,Saskatoon Health Region,,3,U of S External,10
36,Saskatoon Regional Food System Assessment and Action Plan,,3,U of S External,10
37,Centre for Forensics and Behavioural Science and Justice Studies,,3,U of S External,10
38,University of Alberta,,3,U of S External,10
39,Dalhousie University,,3,U of S External,10
40,University of Manitoba,,3,U of S External,10
41,University of Montreal,,3,U of S External,10
42,University of Regina,,3,U of S External,10
43,University of Waterloo,,3,U of S External,10
44,Western College of Veterinary Medicine,,2,U of S Other,10
45,Experimental Research Laboratory,EDL,4,SSRL,30
46,Qualitative Research Laboratory,QRL,4,SSRL,30
47,Spatial Analysis For Innovation in Health Research,SAFIHR,4,SSRL,30
48,Survey and Group Analysis Laboratory,SGAL,4,SSRL,30
49,Video Therapy Analysis Laboratory,ViTAL,4,SSRL,30
