id,name,labs,group,Laboratories.and.Collaborators,size
1,Affinity Credit Union,,3,U of S External,10
2,Alberta Health Services - Calgary Zone,,3,U of S External,10
3,Big Brogthers Big Sisters of Saskatoon,,3,U of S External,10
4,CADTH Health System Impact,,3,U of S External,10
5,Canadian Centre for Health and Safety in Agriculture,,3,U of S External,10
6,Canfax Research Services,,3,U of S External,10
7,CBC Saskatchewan,,3,U of S External,10
8,Centre for Hydrology,,2,U of S Other,10
9,College of Agriculture,,1,U of S SSRL Affiliated,10
10,College of Arts & Science,,1,U of S SSRL Affiliated,10
11,College of Dentistry,,1,U of S SSRL Affiliated,10
12,College of Education,,1,U of S SSRL Affiliated,10
13,College of Engineering,,2,U of S Other,10
14,College of Kinesiology,,1,U of S SSRL Affiliated,10
15,College of Law,,1,U of S SSRL Affiliated,10
16,College of Medicine,,1,U of S SSRL Affiliated,10
17,College of Nursing,,1,U of S SSRL Affiliated,10
18,College of Pharmacy and Nutrition,,1,U of S SSRL Affiliated,10
19,College of Physicians and Surgeons of Saskatchewan,,2,U of S Other,10
62,Community Observation Laboratory,COL,4,SSRL,30
63,Computational Research Laboratory,CRL,4,SSRL,30
21,Ecole Polytechnique de Montreal,,3,U of S External,10
22,Edwards School of Business,,1,U of S SSRL Affiliated,10
64,EEG Hyperscanning Laboratory,EHL,4,SSRL,30
65,Experimental Decision Laboratory,EDL,4,SSRL,30
23,First Nations Technical Services Advisory Group,,3,U of S External,10
24,Food Industry Development Centre Inc,,3,U of S External,10
25,GlassHouse Consultants (New Westminster BC),,3,U of S External,10
26,Government of Saskatchewan,,3,U of S External,10
27,Gwenna Moss Center for Teaching and Learning,,2,U of S Other,10
28,Howard Coad Community,,3,U of S External,10
29,Howard Coad School,,3,U of S External,10
30,Humanities and Social Sciences,,3,U of S External,10
31,Information and Communications Technology ,,1,U of S SSRL Affiliated,10
32,Johnson Shoyama Graduate School of Public Policy,,1,U of S SSRL Affiliated,10
33,Keyano College,,3,U of S External,10
34,Livestock and Forage Centre of Excellence,,3,U of S External,10
35,Lloydminster Friendship Centre,,3,U of S External,10
36,McMaster University,,3,U of S External,10
66,Mixed Methods Research Laboratory,MMRL,4,SSRL,30
37,Nova Scotia Health Authority,,3,U of S External,10
38,Office of Sustainability,,2,U of S Other,10
39,Office of the Vice-President Research,,1,U of S SSRL Affiliated,10
40,Public Legal Education Association,,3,U of S External,10
67,Qualitative Research Laboratory,QRL,4,SSRL,30
41,Queen's University at Kingston,,3,U of S External,10
42,Quint Development,,3,U of S External,10
43,Ray Gosselin Architect Ltd. ,,3,U of S External,10
44,Saskatchewan Arts Alliance,,3,U of S External,10
50,Saskatchewan Centre for Patient-Oriented Research,,3,U of S External,10
45,Saskatchewan Health Authority,,3,U of S External,10
46,Saskatchewan Polytechnic ,,3,U of S External,10
47,Saskatchewan Population Health and Evaluation Research Unit,,3,U of S External,10
48,Saskatchewan Teachers' Foundation,,3,U of S External,10
51,School of Environment and Sustainability,,1,U of S SSRL Affiliated,10
49,School of Public Health,,1,U of S SSRL Affiliated,10
52,Sexual Assault Services of Saskatchewan,,3,U of S External,10
68,Social Network Laboratory,SNL,4,SSRL,30
53,St. Thomas More College,,1,U of S SSRL Affiliated,10
69,Survey and Group Analysis Laboratory,SGAL,4,SSRL,30
70,The Spatial Laboratory,TSL,4,SSRL,30
54,Undergraduate Student Office,,2,U of S Other,10
55,University Library,,1,U of S SSRL Affiliated,10
56,University of Guelph,,3,U of S External,10
57,University of Illinois Chicago,,3,U of S External,10
58,University of Manitoba,,3,U of S External,10
59,University of Regina,,3,U of S External,10
60,University Relations,,3,U of S External,10
71,Video Therapy Analysis Laboratory,ViTAL,4,SSRL,30
20,Western College of Veterinary Medicine,,1,U of S SSRL Affiliated,10
61,Wilfrid Laurier University,,3,U of S External,10
